date | value
2011-01-03 | 3
2011-01-03 |
| 5
|
2011-01-03|5
2011-01-03 |5
2011-01-03| 5
   2011-01-03   |   5
2011-01-03 | -1
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1000.1
2011-01-03 | 1001
2011-01-03 | inf
2011-01-03 | -inf
2011-01-03 | nan
2011-01-03 | 1e10
2011-01-03 | 1.7976931348623157e+308
2011-01-03 | 2147483648
2011-01-03 | -2147483648
2011-01-03 | abc
2011-01-03 | 123abc
2011-01-03 | abc123
2011-01-03 | 12.34.56
2011-01-03 | ++5
2011-01-03 | --5
2011-01-03 | 5.
2011-01-03 | .5
2011-01-03 | .
2011-01-03 |
2011-01-03 | 0x1A
2011-01-03 | 0b101
2011-01-03 | 5e
2011-01-03 | e5
2001-42-42 | 5
2011-13-01 | 5
2011-00-01 | 5
2011-01-00 | 5
2011-01-32 | 5
2011-02-29 | 5
2012-02-29 | 5
2000-02-29 | 5
1900-02-29 | 5
2008-01-01 | 5
2009-01-01 | 5
abcd-ef-gh | 5
11-01-03 | 5
2011-1-3 | 5
2011/01/03 | 5
03-01-2011 | 5
 | 5

||
2011-01-03|||||5
very long line with no separator that should not crash the program and should be handled gracefully
2011-01-03 | 5 | extra | data | here
2011-01-03 | 5.000000000000000000000000000000000000000000000001

